488	Inter-disciplinary programmes and qualifications involving business, administration and law
49	Business, administration and law not elsewhere classified
499	Business, administration and law not elsewhere classified
5	Natural sciences, mathematics and statistics
50	Natural sciences, mathematics and statistics not further defined
500	Natural sciences, mathematics and statistics not further defined
51	Biological and related sciences
510	Biological and related sciences not further defined
511	Biology
Biology	
Biometrics	
Botany	
Cell biology	
Entomology	
Genetics	
Life sciences	
Limnology	
Microbiology	
Molecular biology	
Mycology	
Ornithology	
Parasitology	
Zoology	
512	Biochemistry
Biological chemistry	
Biotechnology	
Cell technology	
Forensic sciences	
Genetic code (DNA, RNA) studies	
Genetic engineering	
Pharmacology	
Tissue culture technology	
Toxicology	
Virology	
519	Biological and related sciences not elsewhere classified
52	Environment
520	Environment not further defined
521	Environmental sciences
Ecology	
Environmental science	
522	Natural environments and wildlife
Conservation and land management	
National parks and wildlife management	
Nature conservation	
Wildlife management	
Wildlife ranger studies	
529	Environment not elsewhere classified
53	Physical sciences
530	Physical sciences not further defined
531	Chemistry
Analytical chemistry	
Chemistry	
Inorganic chemistry	
Organic chemistry	
Petrology	
Physical chemistry	
Polymer chemistry	
532	Earth sciences
Atmospheric sciences	
Climate research	
Earth science	
Geodesy	
Geographic information systems (GIS)	
Geography (nature)	
Geography (physical)	
Geoinformatics	
Geology	
Geomatics	
Geophysics	
Geoscience	
Geospatial technology	
Hydrogeology	
Hydrology	
Marine science	
Meteorology	
Mineralogy	
Ocean life sciences	
Oceanography	
Palaeontology	
Seismology	
Vulcanology	
533	Physics
Acoustics	
Astronomy	
Astrophysics	
Biophysics	
Chemical physics	
Medical physics	
Nuclear physics	
Optics	
Physics	
Planetary sciences	
Space science	
539	Physical sciences not elsewhere classified
54	Mathematics and statistics
540	Mathematics and statistics not further defined
541	Mathematics
Algebra	
Applied mathematics	
Data analysis (mathematics)	
Geometry	
Mathematics	
Numerical analysis	
Operational research	
Pure mathematics	
542	Statistics
Actuarial science	
Applied statistics	
Mathematical (theoretical) statistics	
Probability theory	
Survey design	
Survey sampling	
58	Inter-disciplinary programmes and qualifications involving natural sciences, mathematics and statistics
588	Inter-disciplinary programmes and qualifications involving natural sciences, mathematics and statistics
59	Natural sciences, mathematics and statistics not elsewhere classified
599	Natural sciences, mathematics and statistics not elsewhere classified
6	Information and Communication Technologies (ICTs)
61	Information and Communication Technologies (ICTs)
610	Information and Communication Technologies (ICTs) not further defined
611	Computer use
Computer software use	
Computer use	
Internet use	
Use of software for calculating	
(spreadsheets)	
Use of software for data processing	
Use of software for desktop publishing	
Use of software for word processing	
612	Database and network design and administration
Computer administration and management	
Computer media applications	
Computer network installation and maintenance	
Computer support	
Database administrator studies	
Information technology administration	
Information technology security	
Network administration	
Network design	
Web design	
613	Software and applications development and analysis
Computer programming	
Computer science	
Computer systems analysis	
Computer systems design	
Informatics (computer science)	
Operating systems	
Programming (computer)	
Programming languages development	
Software development	
Software localisation	
Software programming	
Software testing	
619	Information and Communication Technologies (ICTs) not elsewhere classified
Artificial intelligence	
68	Inter-disciplinary programmes and qualifications involving Information and Communication Technologies (ICTs)
688	Inter-disciplinary programmes and qualifications involving Information and Communication Technologies (ICTs)
7	Engineering, manufacturing and construction
70	Engineering, manufacturing and construction not further defined
700	Engineering, manufacturing and construction not further defined
71	Engineering and engineering trades
710	Engineering and engineering trades not further defined
711	Chemical engineering and processes
Chemical engineering	
Chemical process engineering	
Laboratory assistant programmes	
Laboratory technician programmes	
Laboratory technology	
Oil/gas/petrochemicals processing	
Oil refining	
Plant and machine operation	
(processing)	
Process technology	
712	Environmental protection technology
Air pollution control	
Ecological technology	
Energy efficiency	
Environmental control	
Environmental engineering	
Environmental protection technology	
Industrial discharge control	
Noise pollution control	
Recycling	
Water pollution control	
713	Electricity and energy
Air-conditioning trades (installation and maintenance)	
Climate engineering	
Electrical appliances repairing	
Electrical engineering	
Electrical fitting	
Electrical power generation	
Electrical trades	
Energy studies	
Gas distribution	
Heating trades (installation and maintenance)	
Nuclear, hydraulic and thermal energy	
Power line installation and maintenance	
Power production	
Refrigeration	
Solar energy	
Solar power	
Wind turbines	
714	Electronics and automation
Automation	
Broadcasting electronics	
Communication systems	
Communications equipment installation	
Communications equipment maintenance	
Computer engineering	
Computer repairing	
Control engineering	
Data processing technology	
Digital technology	
Electronic engineering	
Electronic equipment servicing	
Network technology	
Robotics	
Telecommunications technology	
Television and radio repairing	
715	Mechanics and metal trades
Bicycle production	
Bicycle repair	
Boilermaking and welding	
Gunsmithing	
Hydraulics	
Locksmithing and safe repairing	
Mechanical engineering	
Mechanical trades	
Metal casting and patternmaking	
Metal fitting, turning and machining	
Metal trades programmes	
Metallurgical engineering	
Metallurgical technology	
Micromechanics	
Precision mechanics	
Sheet metal working	
Steel production	
Tool and die making	
Watchmaking	
Welding	
716	Motor vehicles, ships and aircraft
Aeronautical engineering	
Aerospace engineering	
Agriculture machinery mechanics	
Aircraft engineering	
Aircraft maintenance	
Automotive electrical systems	
Automotive engineering	
Avionics	
Coachwork	
Helicopter construction	
Marine construction	
Marine engineering	
Maritime engineering	
Motorcycle engineering	
Motorcycle mechanics	
Naval engineering	
Panel beating	
Shipbuilding	
Train repair and maintenance	
Vehicle and motor engineering	
Vehicle building	
Vehicle diagnostics	
Vehicle electrical systems	
Vehicle mechanics	
Vehicle painting	
Vehicle repairing	
Vehicle trimming	
Vehicle varnishers/sprayers	
719	Engineering and engineering trades not elsewhere classified
Nanotechnology	
72	Manufacturing and processing
720	Manufacturing and processing not further defined
721	Food processing
Baking	
Brewing	
Butchery	
Cheese production	
Confectionery	
Dairy foods (industrial)	
Dairy science	
Distilling	
Food and drink processing	
Food handling/hygiene	
Food preparation	
Food preservation	
Food processing industry	
Food science	
Food science and technology	
Food techniques	
Industrial bakery/flour production	
Meat processing	
Pastry cooking	
Tobacco processing	
Wine production	
Wine science	
Wine storing/maturing	
722	Materials (glass, paper, plastic and wood)
Boat building (non-motor)	
Cabinet making	
Cane, willow and bamboo work	
Carpentry (furniture)	
Ceramics (industrial)	
Furniture crafts	
Furniture making	
Glass production	
Glass working (industrial)	
Industrial diamond production	
Paper manufacturing and processing	
Plastic manufacturing	
Rubber processing	
Stone cutting	
Synthetic fibre manufacturing	
Timber technology	
Wood machining and turning	
Wood technology	
Woodwork trades	
Woodworking and carpentry	
723	Textiles (clothes, footwear and leather)
Clothing, apparel and textile working	
Clothing industry	
Clothing trades	
Custom tailoring	
Cutting and tailoring	
Dressmaking	
Embroidery and needlework (industrial)	
Footwear making	
Fur making	
Furrier	
Garment production	
Knitting (industrial)	
Leather goods production	
Leather processing	
Leather trades	
Pelt worker	
Saddlery	
Sewing (industrial)	
Shoe, boot and leather repairing	
Shoemaking	
Skins and leather production	
Soft furnishings	
Spinning	
Tailoring	
Textiles, clothing and footwear	
Textile techniques	
Textile trades	
Upholstery	
Weaving (industrial)	
Wool science	
724	Mining and extraction
Coal mining	
Drilling	
Mineral technology	
Mining engineering	
Mining of minerals	
Mining technology	
Oil and gas drilling	
Oil and gas extraction	
Quarry supervision	
Raw material extraction	
729	Manufacturing and processing not elsewhere classified
73	Architecture and construction
730	Architecture and construction not further defined
731	Architecture and town planning
Architectural urban design and planning	
Architecture	
Building design	
Cartography/Land surveying	
City planning	
Community development	
Community planning	
Landscape architecture	
Rural development	
Structural architecture	
Surveying	
Topography	
Town and country planning	
Town and regional planning	
Town planning	
Urban planning	
Urban studies	
732	Building and civil engineering
Bricklaying	
Brickwork and masonry	
Bridge construction	
Building construction	
Building engineering	
Building maintenance	
Building renovation	
Building technology	
Carpentry and joinery (building)	
Cement working	
Civil engineering	
Construction equipment	
Construction plant operation	
Construction technology	
Constructional engineering	
Constructional metalwork (building)	
Demolition	
Dock and harbour engineering	
Drawing, technical	
Excavation engineering	
Floor and wall tiling	
Floor covering	
Glazing	
House building	
Industrial abseiling (commercial)	
Insulation	
Irrigation and drainage (construction)	
Joinery and carpentry (building)	
Masonry and tile setting	
Painting and wall covering	
Pipe fitting	
Plastering (building)	
Plumbing	
Quantity surveying	
Road building	
Roof fixing	
Sanitation (building)	
Scaffolding work	
Stonemasonry	
Structural engineering	
Technical drawing	
Water supply and sewerage engineering	
Water technology and engineering	
Ventilation (building)	
78	Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction
788	Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction
79	Engineering, manufacturing and construction not elsewhere classified
799	Engineering, manufacturing and construction not elsewhere classified
8	Agriculture, forestry, fisheries and veterinary
80	Agriculture, forestry, fisheries and veterinary not further defined
800	Agriculture, forestry, fisheries and veterinary not further defined
81	Agriculture
810	Agriculture not further defined
811	Crop and livestock production
Agricultural business/agribusiness operations	
Agricultural economics	
Agricultural sciences	
Agriculture	
Agronomy and crop science	
Animal breeding	
Animal husbandry	
Animal training	
Basic skills in agriculture	
Crop growing	
Dog breeding	
Farm and ranch management	
Farm maintenance	
Farming	
Fruit growing	
Fruit production	
Goose keeping	
Grain growing	
Horse breeding	
Horse husbandry	
Irrigation techniques	
Olive growing	
Orchards construction	
Pig farming	
Poultry husbandry	
Race horse care	
Rye and wheat growing	
Sheep farming	
Soil and water technician programmes	
Soil fertility	
Soil science	
Sugar cane growing	
Vegetable plantation	
Wine growing	
Vineyard construction	
Viticulture	
812	Horticulture
Floriculture	
Gardening	
Green keeping	
Greenhouse operations	
Horticultural techniques	
Horticulture	
Landscape gardening	
Nursery management (horticulture)	
Ornamental plants production	
Sports grounds maintenance	
Turf cultivation and management	
819	Agriculture not elsewhere classified
82	Forestry
821	Forestry
Charcoal burning	
Forest keeping	
Forest product techniques	
Forest ranging	
Forestry	
Hunting and trapping	
Logging	
Tree felling	
83	Fisheries
831	Fisheries
Aquaculture	
Deep sea fishing	
Fish breeding	
Fish farms	
Fish husbandry	
Fishery	
Fishery science and technology	
Mariculture	
Pearl cultivating	
Sea food breeding	
Shellfish breeding	
84	Veterinary
841	Veterinary
Animal health care	
Animal reproduction (science)	
Artificial insemination (of animals)	
Veterinary assisting	
Veterinary medicine	
Veterinary nursing	
Veterinary science	
88	Inter-disciplinary programmes and qualifications involving agriculture, forestry, fisheries and veterinary
888	Inter-disciplinary programmes and qualifications involving agriculture, forestry, fisheries and veterinary
89	Agriculture, forestry, fisheries and veterinary not elsewhere classified
899	Agriculture, forestry, fisheries and veterinary not elsewhere classified
9	Health and welfare
90	Health and welfare not further defined
900	Health and welfare not further defined
91	Health
910	Health not further defined
911	Dental studies
Clinical dentistry	
Dental assisting	
Dental hygiene	
Dental laboratory technology	
Dental nursing	
Dental science	
Dental surgery	
Dental technology	
Dentistry	
Odontology	
Oral surgery	
Orthodontics	
912	Medicine
Anaesthetics	
Anatomy	
Audiology/hearing sciences	
Bacteriology	
Cardiology	
Cytology	
Dermatology	
Epidemiology	
Forensic medicine	
Forensic pathology	
General medicine	
Gerontology	
Gynaecology	
Haematology	
Histology	
Immunology	
Internal medicine	
Medical science	
Medical training	
Medicine	
Naturopathic medicine	
Neurology	
Obstetrics and gynaecology	
Oncology	
Ophthalmic	
Ophthalmology	
Paediatrics	
Pathology	
Physiology	
Plastic surgery	
Preventive and social medicine	
Psychiatry	
Stomatology	
Surgery	
Training of doctors	
Training of physicians	
913	Nursing and midwifery
Assistant nursing	
Basic nursing	
Community nursing	
General nursing	
Gerontological services	
Health care of old people	
Health care of the disabled	
Health care programmes	
Hygiene, medical	
Infant hygiene (nursing)	
Midwifery	
Mother craft nursing	
Nursing	
Nursing aide/Orderly	
Psychiatric nursing	
Specialised nursing	
914	Medical diagnostic and treatment technology
Ambulance service	
Ambulance technology	
Auditory prosthetics	
Emergency para-medical technologies	
Forensic medicine technology	
Hearing aid technology	
Medical laboratory technology	
Medical technology	
Nuclear medicine technologies	
Optical lens making	
Optical prosthetics	
Optical technology	
Orthopaedic prosthetics	
Prosthetic technology	
Radiography	
Radiology technology	
Radiotherapy	
X-ray technology (medical)	
915	Therapy and rehabilitation
Chiropractice	
Dietician programmes	
Massage (medical)	
Mental health services	
Nutrition and dietetics	
Occupational therapy	
Optometry	
Osteopathy	
Physiotherapy	
Reflexology	
Rehabilitation	
Speech pathology and therapy	
Vocational rehabilitation	
916	Pharmacy
Dispensing pharmacy	
Pharmacy	
917	Traditional and complementary medicine and therapy
Acupuncture and oriental medicine	
Aromatherapy	
Ayurvedic medicine	
Herbalism	
Herbology	
Holistic medicine	
Homeopathic medicine	
Traditional medicine, for example Chinese	
919	Health not elsewhere classified
92	Welfare
920	Welfare not further defined
921	Care of the elderly and of disabled adults
Care (non-medical) of the elderly	
Non-medical care of disabled adults	
Personal care of adults	
922	Child care and youth services
Child care (non-medical)	
Child recreation programmes	
Day care	
Non-medical care of disabled children	
Youth recreation programmes	
Youth services	
Youth worker programmes	
923	Social work and counselling
Alcohol and drug abuse counselling	
Alcohol, tobacco, drugs (knowledge about)	
Career advising	
Counselling	
Crisis support	
Family and marriage counselling	
Maltreatment (knowledge about)	
Mobbing (knowledge about)	
Parole officer training	
Probation officer training	
Social care	
Social policy	
Social practice	
Social theory (applied)	
Social work (welfare)	
Vocational counselling	
Vocational guidance	
929	Welfare not elsewhere classified
98	Inter-disciplinary programmes and qualifications involving health and welfare
988	Inter-disciplinary programmes and qualifications involving health and welfare
99	Health and welfare not elsewhere classified
999	Health and welfare not elsewhere classified
10	Services
100	Services not further defined
1000	Services not further defined
101	Personal services
1010	Personal services not further defined
1011	Domestic services
Caretaking, housekeeping, home service	
Chimney sweeping	
Cleaning	
Cooking (home)	
Custodian/caretaker	
Domestic science	
Dry-cleaning	
Funeral services and mortuary science	
Home economics	
Laundry	
Needlework (home)	
Sewing (home)	
Window cleaning	
1012	Hair and beauty services
Barbering	
Beauty therapy	
Cosmetic services	
Cosmetology	
Fitness and weight control	
Fitness services	
Hairdressing	
Make-up	
Manicure	
Massage (beauty)	
Pedicure	
Salon services (beauty therapy)	
Wig making	
1013	Hotel, restaurants and catering
Bar service	
Bartender/mixologist	
Catering	
Cooking (restaurant and hotel-type)	
Croupier training	
Culinary arts	
Fast food preparation	
Food and hospitality services	
Food serving	
Hospitality services	
Hotel and restaurant studies	
Hotel receptionist training	
Hotel services	
Waiting and bar service	
1014	Sports
Bookmaking (horses etc)	
Diving (sport)	
Football playing	
Gymnastics	
Jockeying	
Physical training (sports)	
Sport leadership	
Sport trainer studies	
Sports	
Sports coaching	
Sports instructor training	
Umpires and other sports officials	
1015	Travel, tourism and leisure
Abseiling (leisure)	
Adventure based activities	
Ground crew training (airports)	
Guiding, tour leading	
Leisure and tourism	
Recreation and leisure	
Recreation management	
Tourism	
Tourist trades	
Travel agency services	
Travel and tourism	
Travel services	
1019	Personal services not elsewhere classified
102	Hygiene and occupational health services
1020	Hygiene and occupational health services not further defined
1021	Community sanitation
Garbage disposal	
Hygiene, community	
Hygienic standards	
Refuse collection	
Refuse/sewage disposal	
Sanitation, community	
Street cleaning	
Water supply (service)	
Waste management	
1022	Occupational health and safety
Ergonomics (occupational health and safety)	
Health and safety in the work place	
Industrial welfare	
Job safety	
Labour protection	
Labour security	
Labour welfare (safety)	
Occupational health and industrial hygiene	
Occupational health and safety	
Stress management	
Work environment	
1029	Hygiene and occupational health services not elsewhere classified
103	Security services
1030	Security services not further defined
1031	Military and defence
Army training	
Defence studies	
Military science	
National security	
Navy training	
War theory	
1032	Protection of persons and property
Civil security	
Customs programmes	
Diving (professional)	
Fire-protection (fire-fighting)	
Fire technology	
Law enforcement	
Life guarding	
Police work	
Policing studies	
Prison work	
Public security	
Security and loss prevention services	
Security guarding	
1039	Security services not elsewhere classified
104	Transport services
1041	Transport services
Air crew (flying and navigation)	
Air traffic control	
Air traffic safety	
Aircraft operation	
Aviation	
Bus and coach driving	
Cabin crew training	
Communications (air, railway, road etc.)	
Crane and truck driving	
Driving training	
Flying and navigation	
Fork-lift truck driving	
Mail operations	
Nautical science	
Navigation technologies	
Postal services	
Railway operations	
Road motor vehicle operations	
Seamanship	
Seamen's programmes/qualifications	
Ship operation	
Shipping	
Stewardess/steward training (air)	
Transport studies	
Truck driving	
108	Inter-disciplinary programmes and qualifications involving services
1088	Inter-disciplinary programmes and qualifications involving services
109	Services not elsewhere classified
1099	Services not elsewhere classified
99	Field unknown
999	Field unknown
9999	Field unknow
